Chrom,Start,Stop,Gene
Chr20,606,1069,ID=Glyma.20G000100.Wm82.a2.v1;Name=Glyma.20G000100
Chr20,2658,13802,ID=Glyma.20G000200.Wm82.a2.v1;Name=Glyma.20G000200;ancestorIdentifier=Glyma20g00200.v1.1
Chr20,16441,21409,ID=Glyma.20G000300.Wm82.a2.v1;Name=Glyma.20G000300;ancestorIdentifier=Glyma20g00210.v1.1
Chr20,31299,40906,ID=Glyma.20G000400.Wm82.a2.v1;Name=Glyma.20G000400;ancestorIdentifier=Glyma20g00220.v1.1
Chr20,41852,45797,ID=Glyma.20G000500.Wm82.a2.v1;Name=Glyma.20G000500;ancestorIdentifier=Glyma20g00230.v1.1
Chr20,50962,52178,ID=Glyma.20G000600.Wm82.a2.v1;Name=Glyma.20G000600;ancestorIdentifier=Glyma20g00240.v1.1
Chr20,61902,71677,ID=Glyma.20G000700.Wm82.a2.v1;Name=Glyma.20G000700;ancestorIdentifier=Glyma20g00260.v1.1
Chr20,76452,80093,ID=Glyma.20G000800.Wm82.a2.v1;Name=Glyma.20G000800;ancestorIdentifier=Glyma20g00270.v1.1
Chr20,82330,83281,ID=Glyma.20G000900.Wm82.a2.v1;Name=Glyma.20G000900
Chr20,106923,113414,ID=Glyma.20G001000.Wm82.a2.v1;Name=Glyma.20G001000;ancestorIdentifier=Glyma20g00290.v1.1
Chr20,117485,120405,ID=Glyma.20G001100.Wm82.a2.v1;Name=Glyma.20G001100;ancestorIdentifier=Glyma20g00301.v1.1
Chr20,122945,124048,ID=Glyma.20G001200.Wm82.a2.v1;Name=Glyma.20G001200;ancestorIdentifier=Glyma20g00311.v1.1
Chr20,124660,142033,ID=Glyma.20G001300.Wm82.a2.v1;Name=Glyma.20G001300;ancestorIdentifier=Glyma20g00320.v1.1
Chr20,150537,152168,ID=Glyma.20G001400.Wm82.a2.v1;Name=Glyma.20G001400;ancestorIdentifier=Glyma20g00330.v1.1
Chr20,163907,166628,ID=Glyma.20G001500.Wm82.a2.v1;Name=Glyma.20G001500
Chr20,168241,170379,ID=Glyma.20G001600.Wm82.a2.v1;Name=Glyma.20G001600
Chr20,178941,182481,ID=Glyma.20G001700.Wm82.a2.v1;Name=Glyma.20G001700;ancestorIdentifier=Glyma20g00370.v1.1
Chr20,201443,203911,ID=Glyma.20G001800.Wm82.a2.v1;Name=Glyma.20G001800;ancestorIdentifier=Glyma20g00390.v1.1
Chr20,206068,209996,ID=Glyma.20G001900.Wm82.a2.v1;Name=Glyma.20G001900;ancestorIdentifier=Glyma20g00401.v1.1
Chr20,213184,219283,ID=Glyma.20G002000.Wm82.a2.v1;Name=Glyma.20G002000;ancestorIdentifier=Glyma20g00410.v1.1
Chr20,219510,223899,ID=Glyma.20G002100.Wm82.a2.v1;Name=Glyma.20G002100
Chr20,226435,228121,ID=Glyma.20G002200.Wm82.a2.v1;Name=Glyma.20G002200;ancestorIdentifier=Glyma20g00430.v1.1
Chr20,228580,231565,ID=Glyma.20G002300.Wm82.a2.v1;Name=Glyma.20G002300
Chr20,235327,239972,ID=Glyma.20G002400.Wm82.a2.v1;Name=Glyma.20G002400;ancestorIdentifier=Glyma20g00450.v1.1
Chr20,241013,241717,ID=Glyma.20G002500.Wm82.a2.v1;Name=Glyma.20G002500;ancestorIdentifier=Glyma20g00470.v1.1
Chr20,242782,243989,ID=Glyma.20G002600.Wm82.a2.v1;Name=Glyma.20G002600
Chr20,250193,254045,ID=Glyma.20G002700.Wm82.a2.v1;Name=Glyma.20G002700;ancestorIdentifier=Glyma20g00490.v1.1
Chr20,259703,260884,ID=Glyma.20G002800.Wm82.a2.v1;Name=Glyma.20G002800;ancestorIdentifier=Glyma20g00500.v1.1
Chr20,262922,282744,ID=Glyma.20G002900.Wm82.a2.v1;Name=Glyma.20G002900;ancestorIdentifier=Glyma20g00510.v1.1
Chr20,280381,281414,ID=Glyma.20G003000.Wm82.a2.v1;Name=Glyma.20G003000;ancestorIdentifier=Glyma20g00521.v1.1
Chr20,288005,292453,ID=Glyma.20G003100.Wm82.a2.v1;Name=Glyma.20G003100;ancestorIdentifier=Glyma20g00530.v1.1
Chr20,290153,290697,ID=Glyma.20G003200.Wm82.a2.v1;Name=Glyma.20G003200;ancestorIdentifier=Glyma20g00535.v1.1
Chr20,302280,306286,ID=Glyma.20G003300.Wm82.a2.v1;Name=Glyma.20G003300;ancestorIdentifier=Glyma20g00540.v1.1
Chr20,307789,343434,ID=Glyma.20G003400.Wm82.a2.v1;Name=Glyma.20G003400;ancestorIdentifier=Glyma20g00565.v1.1
Chr20,346199,348895,ID=Glyma.20G003500.Wm82.a2.v1;Name=Glyma.20G003500;ancestorIdentifier=Glyma20g00590.v1.1
Chr20,350171,353534,ID=Glyma.20G003600.Wm82.a2.v1;Name=Glyma.20G003600;ancestorIdentifier=Glyma20g00604.v1.1
Chr20,357729,358141,ID=Glyma.20G003700.Wm82.a2.v1;Name=Glyma.20G003700;ancestorIdentifier=Glyma20g00618.v1.1
Chr20,359738,361664,ID=Glyma.20G003800.Wm82.a2.v1;Name=Glyma.20G003800;ancestorIdentifier=Glyma20g00632.v1.1
Chr20,362480,364525,ID=Glyma.20G003900.Wm82.a2.v1;Name=Glyma.20G003900
Chr20,366402,406506,ID=Glyma.20G004000.Wm82.a2.v1;Name=Glyma.20G004000;ancestorIdentifier=Glyma20g00646.v1.1
Chr20,408090,409197,ID=Glyma.20G004100.Wm82.a2.v1;Name=Glyma.20G004100;ancestorIdentifier=Glyma20g00675.v1.1
Chr20,414222,418774,ID=Glyma.20G004200.Wm82.a2.v1;Name=Glyma.20G004200;ancestorIdentifier=Glyma20g00690.v1.1
Chr20,429628,433397,ID=Glyma.20G004300.Wm82.a2.v1;Name=Glyma.20G004300;ancestorIdentifier=Glyma20g00700.v1.1
Chr20,435619,443234,ID=Glyma.20G004400.Wm82.a2.v1;Name=Glyma.20G004400;ancestorIdentifier=Glyma20g00710.v1.1
Chr20,448202,450510,ID=Glyma.20G004500.Wm82.a2.v1;Name=Glyma.20G004500;ancestorIdentifier=Glyma20g00720.v1.1
Chr20,452692,457443,ID=Glyma.20G004600.Wm82.a2.v1;Name=Glyma.20G004600;ancestorIdentifier=Glyma20g00730.v1.1
Chr20,463333,464862,ID=Glyma.20G004700.Wm82.a2.v1;Name=Glyma.20G004700;ancestorIdentifier=Glyma20g00740.v1.1
Chr20,469197,471834,ID=Glyma.20G004800.Wm82.a2.v1;Name=Glyma.20G004800;ancestorIdentifier=Glyma20g00750.v1.1
Chr20,474697,477611,ID=Glyma.20G004900.Wm82.a2.v1;Name=Glyma.20G004900;ancestorIdentifier=Glyma20g00760.v1.1
Chr20,481956,484291,ID=Glyma.20G005000.Wm82.a2.v1;Name=Glyma.20G005000
Chr20,489304,493397,ID=Glyma.20G005100.Wm82.a2.v1;Name=Glyma.20G005100;ancestorIdentifier=Glyma20g00770.v1.1
Chr20,494584,501928,ID=Glyma.20G005200.Wm82.a2.v1;Name=Glyma.20G005200;ancestorIdentifier=Glyma20g00780.v1.1
Chr20,511459,518865,ID=Glyma.20G005300.Wm82.a2.v1;Name=Glyma.20G005300;ancestorIdentifier=Glyma20g00790.v1.1
Chr20,521375,530540,ID=Glyma.20G005400.Wm82.a2.v1;Name=Glyma.20G005400;ancestorIdentifier=Glyma20g00810.v1.1
