Chrom,Start,Stop,Gene
Chr10,2633,9035,ID=Glyma.10G000100.Wm82.a2.v1;Name=Glyma.10G000100
Chr10,11328,21977,ID=Glyma.10G000200.Wm82.a2.v1;Name=Glyma.10G000200;ancestorIdentifier=Glyma10g00210.v1.1
Chr10,34071,37387,ID=Glyma.10G000300.Wm82.a2.v1;Name=Glyma.10G000300;ancestorIdentifier=Glyma10g00220.v1.1
Chr10,62862,66335,ID=Glyma.10G000400.Wm82.a2.v1;Name=Glyma.10G000400;ancestorIdentifier=Glyma10g00250.v1.1
Chr10,71115,74498,ID=Glyma.10G000500.Wm82.a2.v1;Name=Glyma.10G000500;ancestorIdentifier=Glyma10g00260.v1.1
Chr10,84337,88080,ID=Glyma.10G000600.Wm82.a2.v1;Name=Glyma.10G000600;ancestorIdentifier=Glyma10g00280.v1.1
Chr10,90195,90673,ID=Glyma.10G000700.Wm82.a2.v1;Name=Glyma.10G000700;ancestorIdentifier=Glyma10g00291.v1.1
Chr10,92896,99175,ID=Glyma.10G000800.Wm82.a2.v1;Name=Glyma.10G000800;ancestorIdentifier=Glyma10g00300.v1.1
Chr10,102668,104250,ID=Glyma.10G000900.Wm82.a2.v1;Name=Glyma.10G000900;ancestorIdentifier=Glyma10g00310.v1.1
Chr10,104625,114623,ID=Glyma.10G001000.Wm82.a2.v1;Name=Glyma.10G001000;ancestorIdentifier=Glyma10g00320.v1.1
Chr10,122421,132370,ID=Glyma.10G001100.Wm82.a2.v1;Name=Glyma.10G001100;ancestorIdentifier=Glyma10g00350.v1.1
Chr10,133342,140198,ID=Glyma.10G001200.Wm82.a2.v1;Name=Glyma.10G001200;ancestorIdentifier=Glyma10g00360.v1.1
Chr10,141068,141415,ID=Glyma.10G001300.Wm82.a2.v1;Name=Glyma.10G001300;ancestorIdentifier=Glyma10g00371.v1.1
Chr10,142165,146672,ID=Glyma.10G001400.Wm82.a2.v1;Name=Glyma.10G001400;ancestorIdentifier=Glyma10g00380.v1.1
