Chrom,Start,Stop,Gene
Chr08,8658,12333,ID=Glyma.08G000100.Wm82.a2.v1;Name=Glyma.08G000100
Chr08,16411,17254,ID=Glyma.08G000200.Wm82.a2.v1;Name=Glyma.08G000200;ancestorIdentifier=Glyma08g00224.v1.1
Chr08,17273,31265,ID=Glyma.08G000300.Wm82.a2.v1;Name=Glyma.08G000300;ancestorIdentifier=Glyma08g00232.v1.1
Chr08,37023,38189,ID=Glyma.08G000400.Wm82.a2.v1;Name=Glyma.08G000400;ancestorIdentifier=Glyma08g00240.v1.1
Chr08,44228,45203,ID=Glyma.08G000500.Wm82.a2.v1;Name=Glyma.08G000500;ancestorIdentifier=Glyma08g00246.v1.1
Chr08,50776,51237,ID=Glyma.08G000600.Wm82.a2.v1;Name=Glyma.08G000600;ancestorIdentifier=Glyma08g00253.v1.1
Chr08,53609,55466,ID=Glyma.08G000700.Wm82.a2.v1;Name=Glyma.08G000700;ancestorIdentifier=Glyma08g00260.v1.1
Chr08,62176,64140,ID=Glyma.08G000800.Wm82.a2.v1;Name=Glyma.08G000800;ancestorIdentifier=Glyma08g00280.v1.1
Chr08,65297,67619,ID=Glyma.08G000900.Wm82.a2.v1;Name=Glyma.08G000900;ancestorIdentifier=Glyma08g00291.v1.1
Chr08,69169,72314,ID=Glyma.08G001000.Wm82.a2.v1;Name=Glyma.08G001000;ancestorIdentifier=Glyma08g00300.v1.1
Chr08,74650,77276,ID=Glyma.08G001100.Wm82.a2.v1;Name=Glyma.08G001100;ancestorIdentifier=Glyma08g00315.v1.1
Chr08,83945,89538,ID=Glyma.08G001200.Wm82.a2.v1;Name=Glyma.08G001200;ancestorIdentifier=Glyma08g00320.v1.1
Chr08,91361,92026,ID=Glyma.08G001300.Wm82.a2.v1;Name=Glyma.08G001300;ancestorIdentifier=Glyma08g00330.v1.1
Chr08,96127,100265,ID=Glyma.08G001400.Wm82.a2.v1;Name=Glyma.08G001400
Chr08,108118,113029,ID=Glyma.08G001500.Wm82.a2.v1;Name=Glyma.08G001500;ancestorIdentifier=Glyma08g00360.v1.1
Chr08,114511,114672,ID=Glyma.08G001600.Wm82.a2.v1;Name=Glyma.08G001600;ancestorIdentifier=Glyma08g00370.v1.1
Chr08,117162,122595,ID=Glyma.08G001700.Wm82.a2.v1;Name=Glyma.08G001700;ancestorIdentifier=Glyma08g00380.v1.1
Chr08,123511,123909,ID=Glyma.08G001800.Wm82.a2.v1;Name=Glyma.08G001800;ancestorIdentifier=Glyma08g00390.v1.1
Chr08,125937,133853,ID=Glyma.08G001900.Wm82.a2.v1;Name=Glyma.08G001900;ancestorIdentifier=Glyma08g00400.v1.1
Chr08,134674,138373,ID=Glyma.08G002000.Wm82.a2.v1;Name=Glyma.08G002000;ancestorIdentifier=Glyma08g00410.v1.1
Chr08,141702,148847,ID=Glyma.08G002100.Wm82.a2.v1;Name=Glyma.08G002100;ancestorIdentifier=Glyma08g00420.v1.1
Chr08,150978,157412,ID=Glyma.08G002200.Wm82.a2.v1;Name=Glyma.08G002200;ancestorIdentifier=Glyma08g00440.v1.1
Chr08,162193,170821,ID=Glyma.08G002300.Wm82.a2.v1;Name=Glyma.08G002300;ancestorIdentifier=Glyma08g00451.v1.1
Chr08,172299,175871,ID=Glyma.08G002400.Wm82.a2.v1;Name=Glyma.08G002400;ancestorIdentifier=Glyma08g00460.v1.1
Chr08,176675,182624,ID=Glyma.08G002500.Wm82.a2.v1;Name=Glyma.08G002500;ancestorIdentifier=Glyma08g00470.v1.1
Chr08,190053,193932,ID=Glyma.08G002600.Wm82.a2.v1;Name=Glyma.08G002600;ancestorIdentifier=Glyma08g00480.v1.1
Chr08,195874,201005,ID=Glyma.08G002700.Wm82.a2.v1;Name=Glyma.08G002700;ancestorIdentifier=Glyma08g00490.v1.1
Chr08,204552,208237,ID=Glyma.08G002800.Wm82.a2.v1;Name=Glyma.08G002800;ancestorIdentifier=Glyma08g00500.v1.1
Chr08,211294,221624,ID=Glyma.08G002900.Wm82.a2.v1;Name=Glyma.08G002900;ancestorIdentifier=Glyma08g00510.v1.1
Chr08,224810,231040,ID=Glyma.08G003000.Wm82.a2.v1;Name=Glyma.08G003000;ancestorIdentifier=Glyma08g00520.v1.1
Chr08,236884,243758,ID=Glyma.08G003100.Wm82.a2.v1;Name=Glyma.08G003100;ancestorIdentifier=Glyma08g00535.v1.1
Chr08,246161,251357,ID=Glyma.08G003200.Wm82.a2.v1;Name=Glyma.08G003200;ancestorIdentifier=Glyma08g00550.v1.1
Chr08,255686,261321,ID=Glyma.08G003300.Wm82.a2.v1;Name=Glyma.08G003300;ancestorIdentifier=Glyma08g00560.v1.1
Chr08,261851,262912,ID=Glyma.08G003400.Wm82.a2.v1;Name=Glyma.08G003400;ancestorIdentifier=Glyma08g00570.v1.1
Chr08,263110,268336,ID=Glyma.08G003500.Wm82.a2.v1;Name=Glyma.08G003500;ancestorIdentifier=Glyma08g00580.v1.1
Chr08,269359,271945,ID=Glyma.08G003600.Wm82.a2.v1;Name=Glyma.08G003600;ancestorIdentifier=Glyma08g00590.v1.1
Chr08,274356,275768,ID=Glyma.08G003700.Wm82.a2.v1;Name=Glyma.08G003700;ancestorIdentifier=Glyma08g00595.v1.1
Chr08,276119,277405,ID=Glyma.08G003800.Wm82.a2.v1;Name=Glyma.08G003800;ancestorIdentifier=Glyma08g00600.v1.1
Chr08,278094,280783,ID=Glyma.08G003900.Wm82.a2.v1;Name=Glyma.08G003900;ancestorIdentifier=Glyma08g00613.v1.1
Chr08,283342,283551,ID=Glyma.08G004000.Wm82.a2.v1;Name=Glyma.08G004000;ancestorIdentifier=Glyma08g00626.v1.1
Chr08,292865,293539,ID=Glyma.08G004100.Wm82.a2.v1;Name=Glyma.08G004100;ancestorIdentifier=Glyma08g00640.v1.1
Chr08,300406,308512,ID=Glyma.08G004200.Wm82.a2.v1;Name=Glyma.08G004200;ancestorIdentifier=Glyma08g00650.v1.1
Chr08,322500,330712,ID=Glyma.08G004300.Wm82.a2.v1;Name=Glyma.08G004300;ancestorIdentifier=Glyma08g00670.v1.1
Chr08,332007,339479,ID=Glyma.08G004400.Wm82.a2.v1;Name=Glyma.08G004400;ancestorIdentifier=Glyma08g00680.v1.1
Chr08,343808,352483,ID=Glyma.08G004500.Wm82.a2.v1;Name=Glyma.08G004500;ancestorIdentifier=Glyma08g00691.v1.1
Chr08,357668,362920,ID=Glyma.08G004600.Wm82.a2.v1;Name=Glyma.08G004600;ancestorIdentifier=Glyma08g00720.v1.1
Chr08,371447,377436,ID=Glyma.08G004700.Wm82.a2.v1;Name=Glyma.08G004700;ancestorIdentifier=Glyma08g00730.v1.1
Chr08,378023,382430,ID=Glyma.08G004800.Wm82.a2.v1;Name=Glyma.08G004800;ancestorIdentifier=Glyma08g00740.v1.1
Chr08,385859,391774,ID=Glyma.08G004900.Wm82.a2.v1;Name=Glyma.08G004900;ancestorIdentifier=Glyma08g00750.v1.1
Chr08,394114,400366,ID=Glyma.08G005000.Wm82.a2.v1;Name=Glyma.08G005000;ancestorIdentifier=Glyma08g00760.v1.1
Chr08,402776,406957,ID=Glyma.08G005100.Wm82.a2.v1;Name=Glyma.08G005100;ancestorIdentifier=Glyma08g00770.v1.1
Chr08,414656,418272,ID=Glyma.08G005200.Wm82.a2.v1;Name=Glyma.08G005200;ancestorIdentifier=Glyma08g00780.v1.1
Chr08,426809,427143,ID=Glyma.08G005300.Wm82.a2.v1;Name=Glyma.08G005300;ancestorIdentifier=Glyma08g00795.v1.1
Chr08,431902,433529,ID=Glyma.08G005400.Wm82.a2.v1;Name=Glyma.08G005400;ancestorIdentifier=Glyma08g00810.v1.1
Chr08,442371,447296,ID=Glyma.08G005500.Wm82.a2.v1;Name=Glyma.08G005500;ancestorIdentifier=Glyma08g00830.v1.1
Chr08,449745,453876,ID=Glyma.08G005600.Wm82.a2.v1;Name=Glyma.08G005600;ancestorIdentifier=Glyma08g00840.v1.1
Chr08,456890,461071,ID=Glyma.08G005700.Wm82.a2.v1;Name=Glyma.08G005700;ancestorIdentifier=Glyma08g00850.v1.1
Chr08,461830,471831,ID=Glyma.08G005800.Wm82.a2.v1;Name=Glyma.08G005800;ancestorIdentifier=Glyma08g00870.v1.1
Chr08,479952,485633,ID=Glyma.08G005900.Wm82.a2.v1;Name=Glyma.08G005900;ancestorIdentifier=Glyma08g00880.v1.1
Chr08,485675,487790,ID=Glyma.08G006000.Wm82.a2.v1;Name=Glyma.08G006000
Chr08,486245,493800,ID=Glyma.08G006100.Wm82.a2.v1;Name=Glyma.08G006100;ancestorIdentifier=Glyma08g00890.v1.1
