Chrom,Start,Stop,Gene
Chr19,4309,8135,ID=Glyma.19G000100.Wm82.a2.v1;Name=Glyma.19G000100;ancestorIdentifier=Glyma19g00921.v1.1
Chr19,18872,20236,ID=Glyma.19G000200.Wm82.a2.v1;Name=Glyma.19G000200;ancestorIdentifier=Glyma19g00910.v1.1
Chr19,21123,28982,ID=Glyma.19G000300.Wm82.a2.v1;Name=Glyma.19G000300;ancestorIdentifier=Glyma19g00900.v1.1
Chr19,38184,53792,ID=Glyma.19G000400.Wm82.a2.v1;Name=Glyma.19G000400;ancestorIdentifier=Glyma19g00890.v1.1
Chr19,54977,59954,ID=Glyma.19G000500.Wm82.a2.v1;Name=Glyma.19G000500;ancestorIdentifier=Glyma19g00880.v1.1
Chr19,58082,58449,ID=Glyma.19G000600.Wm82.a2.v1;Name=Glyma.19G000600
Chr19,62637,65278,ID=Glyma.19G000700.Wm82.a2.v1;Name=Glyma.19G000700;ancestorIdentifier=Glyma19g00870.v1.1
Chr19,66994,69199,ID=Glyma.19G000800.Wm82.a2.v1;Name=Glyma.19G000800;ancestorIdentifier=Glyma19g00860.v1.1
Chr19,69366,73143,ID=Glyma.19G000900.Wm82.a2.v1;Name=Glyma.19G000900;ancestorIdentifier=Glyma19g00850.v1.1
Chr19,77993,78708,ID=Glyma.19G001000.Wm82.a2.v1;Name=Glyma.19G001000;ancestorIdentifier=Glyma19g00840.v1.1
Chr19,89169,91439,ID=Glyma.19G001100.Wm82.a2.v1;Name=Glyma.19G001100;ancestorIdentifier=Glyma19g00820.v1.1
Chr19,92164,94339,ID=Glyma.19G001200.Wm82.a2.v1;Name=Glyma.19G001200;ancestorIdentifier=Glyma19g00810.v1.1
Chr19,95488,98953,ID=Glyma.19G001300.Wm82.a2.v1;Name=Glyma.19G001300;ancestorIdentifier=Glyma19g00800.v1.1
Chr19,101598,102086,ID=Glyma.19G001400.Wm82.a2.v1;Name=Glyma.19G001400;ancestorIdentifier=Glyma19g00790.v1.1
Chr19,103399,128601,ID=Glyma.19G001500.Wm82.a2.v1;Name=Glyma.19G001500;ancestorIdentifier=Glyma19g00780.v1.1
Chr19,117544,120775,ID=Glyma.19G001600.Wm82.a2.v1;Name=Glyma.19G001600;ancestorIdentifier=Glyma19g00770.v1.1
Chr19,125135,132063,ID=Glyma.19G001700.Wm82.a2.v1;Name=Glyma.19G001700;ancestorIdentifier=Glyma19g00754.v1.1
Chr19,128557,128790,ID=Glyma.19G001800.Wm82.a2.v1;Name=Glyma.19G001800;ancestorIdentifier=Glyma19g00762.v1.1
Chr19,133430,136403,ID=Glyma.19G001900.Wm82.a2.v1;Name=Glyma.19G001900;ancestorIdentifier=Glyma19g00746.v1.1
Chr19,138034,139142,ID=Glyma.19G002000.Wm82.a2.v1;Name=Glyma.19G002000;ancestorIdentifier=Glyma19g00738.v1.1
Chr19,140298,141530,ID=Glyma.19G002100.Wm82.a2.v1;Name=Glyma.19G002100;ancestorIdentifier=Glyma19g00730.v1.1
Chr19,144515,146552,ID=Glyma.19G002200.Wm82.a2.v1;Name=Glyma.19G002200;ancestorIdentifier=Glyma19g00720.v1.1
Chr19,149843,150820,ID=Glyma.19G002300.Wm82.a2.v1;Name=Glyma.19G002300;ancestorIdentifier=Glyma19g00710.v1.1
Chr19,163476,165819,ID=Glyma.19G002400.Wm82.a2.v1;Name=Glyma.19G002400;ancestorIdentifier=Glyma19g00700.v1.1
Chr19,169559,170000,ID=Glyma.19G002500.Wm82.a2.v1;Name=Glyma.19G002500;ancestorIdentifier=Glyma19g00690.v1.1
Chr19,177278,178432,ID=Glyma.19G002600.Wm82.a2.v1;Name=Glyma.19G002600;ancestorIdentifier=Glyma19g00670.v1.1
Chr19,179198,181038,ID=Glyma.19G002700.Wm82.a2.v1;Name=Glyma.19G002700;ancestorIdentifier=Glyma19g00661.v1.1
Chr19,181668,184580,ID=Glyma.19G002800.Wm82.a2.v1;Name=Glyma.19G002800;ancestorIdentifier=Glyma19g00650.v1.1
Chr19,187517,192326,ID=Glyma.19G002900.Wm82.a2.v1;Name=Glyma.19G002900;ancestorIdentifier=Glyma19g00640.v1.1
Chr19,194869,198819,ID=Glyma.19G003000.Wm82.a2.v1;Name=Glyma.19G003000;ancestorIdentifier=Glyma19g00630.v1.1
Chr19,205676,207884,ID=Glyma.19G003100.Wm82.a2.v1;Name=Glyma.19G003100;ancestorIdentifier=Glyma19g00620.v1.1
Chr19,210453,218637,ID=Glyma.19G003200.Wm82.a2.v1;Name=Glyma.19G003200;ancestorIdentifier=Glyma19g00610.v1.1
Chr19,219786,224870,ID=Glyma.19G003300.Wm82.a2.v1;Name=Glyma.19G003300;ancestorIdentifier=Glyma19g00600.v1.1
Chr19,241231,244067,ID=Glyma.19G003400.Wm82.a2.v1;Name=Glyma.19G003400;ancestorIdentifier=Glyma19g00590.v1.1
Chr19,246271,247409,ID=Glyma.19G003500.Wm82.a2.v1;Name=Glyma.19G003500;ancestorIdentifier=Glyma19g00580.v1.1
Chr19,258921,260429,ID=Glyma.19G003600.Wm82.a2.v1;Name=Glyma.19G003600;ancestorIdentifier=Glyma19g00570.v1.1
Chr19,272545,277033,ID=Glyma.19G003700.Wm82.a2.v1;Name=Glyma.19G003700;ancestorIdentifier=Glyma19g00550.v1.1
Chr19,279036,283213,ID=Glyma.19G003800.Wm82.a2.v1;Name=Glyma.19G003800;ancestorIdentifier=Glyma19g00540.v1.1
Chr19,295914,299776,ID=Glyma.19G003900.Wm82.a2.v1;Name=Glyma.19G003900;ancestorIdentifier=Glyma19g00530.v1.1
Chr19,306672,315520,ID=Glyma.19G004000.Wm82.a2.v1;Name=Glyma.19G004000;ancestorIdentifier=Glyma19g00510.v1.1
Chr19,325512,330426,ID=Glyma.19G004100.Wm82.a2.v1;Name=Glyma.19G004100;ancestorIdentifier=Glyma19g00490.v1.1
Chr19,338885,354769,ID=Glyma.19G004200.Wm82.a2.v1;Name=Glyma.19G004200;ancestorIdentifier=Glyma19g00460.v1.1
Chr19,355213,356649,ID=Glyma.19G004300.Wm82.a2.v1;Name=Glyma.19G004300;ancestorIdentifier=Glyma19g00450.v1.1
Chr19,359934,363588,ID=Glyma.19G004400.Wm82.a2.v1;Name=Glyma.19G004400;ancestorIdentifier=Glyma19g00441.v1.1
Chr19,364292,371469,ID=Glyma.19G004500.Wm82.a2.v1;Name=Glyma.19G004500;ancestorIdentifier=Glyma19g00430.v1.1
Chr19,375172,379030,ID=Glyma.19G004600.Wm82.a2.v1;Name=Glyma.19G004600;ancestorIdentifier=Glyma19g00420.v1.1
Chr19,379721,392669,ID=Glyma.19G004700.Wm82.a2.v1;Name=Glyma.19G004700;ancestorIdentifier=Glyma19g00410.v1.1
Chr19,434515,435520,ID=Glyma.19G004800.Wm82.a2.v1;Name=Glyma.19G004800;ancestorIdentifier=Glyma19g00400.v1.1
Chr19,442917,444920,ID=Glyma.19G004900.Wm82.a2.v1;Name=Glyma.19G004900;ancestorIdentifier=Glyma19g00390.v1.1
Chr19,456585,460174,ID=Glyma.19G005000.Wm82.a2.v1;Name=Glyma.19G005000;ancestorIdentifier=Glyma19g00370.v1.1
Chr19,466144,470978,ID=Glyma.19G005100.Wm82.a2.v1;Name=Glyma.19G005100
Chr19,472201,476152,ID=Glyma.19G005200.Wm82.a2.v1;Name=Glyma.19G005200;ancestorIdentifier=Glyma19g00350.v1.1
Chr19,483800,486940,ID=Glyma.19G005300.Wm82.a2.v1;Name=Glyma.19G005300;ancestorIdentifier=Glyma19g00341.v1.1
Chr19,491948,493875,ID=Glyma.19G005400.Wm82.a2.v1;Name=Glyma.19G005400;ancestorIdentifier=Glyma19g00330.v1.1
Chr19,507038,508134,ID=Glyma.19G005500.Wm82.a2.v1;Name=Glyma.19G005500;ancestorIdentifier=Glyma19g00320.v1.1
Chr19,510302,511649,ID=Glyma.19G005600.Wm82.a2.v1;Name=Glyma.19G005600;ancestorIdentifier=Glyma19g00311.v1.1
Chr19,514039,518599,ID=Glyma.19G005700.Wm82.a2.v1;Name=Glyma.19G005700;ancestorIdentifier=Glyma19g00300.v1.1
Chr19,522587,531382,ID=Glyma.19G005800.Wm82.a2.v1;Name=Glyma.19G005800;ancestorIdentifier=Glyma19g00280.v1.1
Chr19,537642,545561,ID=Glyma.19G005900.Wm82.a2.v1;Name=Glyma.19G005900;ancestorIdentifier=Glyma19g00270.v1.1
Chr19,554327,559536,ID=Glyma.19G006000.Wm82.a2.v1;Name=Glyma.19G006000;ancestorIdentifier=Glyma19g00260.v1.1
Chr19,563133,572838,ID=Glyma.19G006100.Wm82.a2.v1;Name=Glyma.19G006100;ancestorIdentifier=Glyma19g00250.v1.1
Chr19,590763,595425,ID=Glyma.19G006200.Wm82.a2.v1;Name=Glyma.19G006200;ancestorIdentifier=Glyma19g00230.v1.1
Chr19,595814,600632,ID=Glyma.19G006300.Wm82.a2.v1;Name=Glyma.19G006300;ancestorIdentifier=Glyma19g00220.v1.1
Chr19,609898,614175,ID=Glyma.19G006400.Wm82.a2.v1;Name=Glyma.19G006400;ancestorIdentifier=Glyma19g00200.v1.1
Chr19,642960,647456,ID=Glyma.19G006500.Wm82.a2.v1;Name=Glyma.19G006500;ancestorIdentifier=Glyma19g00930.v1.1
Chr19,657576,664647,ID=Glyma.19G006600.Wm82.a2.v1;Name=Glyma.19G006600;ancestorIdentifier=Glyma19g00941.v1.1
Chr19,665192,667655,ID=Glyma.19G006700.Wm82.a2.v1;Name=Glyma.19G006700;ancestorIdentifier=Glyma19g00950.v1.1
Chr19,675913,683415,ID=Glyma.19G006800.Wm82.a2.v1;Name=Glyma.19G006800;ancestorIdentifier=Glyma19g00970.v1.1
Chr19,686556,692466,ID=Glyma.19G006900.Wm82.a2.v1;Name=Glyma.19G006900;ancestorIdentifier=Glyma19g00980.v1.1
Chr19,688916,689199,ID=Glyma.19G007000.Wm82.a2.v1;Name=Glyma.19G007000
Chr19,690373,690809,ID=Glyma.19G007100.Wm82.a2.v1;Name=Glyma.19G007100;ancestorIdentifier=Glyma19g00985.v1.1
Chr19,694929,695997,ID=Glyma.19G007200.Wm82.a2.v1;Name=Glyma.19G007200;ancestorIdentifier=Glyma19g00990.v1.1
Chr19,711373,722527,ID=Glyma.19G007300.Wm82.a2.v1;Name=Glyma.19G007300;ancestorIdentifier=Glyma19g01000.v1.1
Chr19,739763,750443,ID=Glyma.19G007400.Wm82.a2.v1;Name=Glyma.19G007400;ancestorIdentifier=Glyma19g01010.v1.1
Chr19,748333,749376,ID=Glyma.19G007500.Wm82.a2.v1;Name=Glyma.19G007500
Chr19,768757,770171,ID=Glyma.19G007600.Wm82.a2.v1;Name=Glyma.19G007600;ancestorIdentifier=Glyma19g01030.v1.1
Chr19,774597,781805,ID=Glyma.19G007700.Wm82.a2.v1;Name=Glyma.19G007700;ancestorIdentifier=Glyma19g01050.v1.1
Chr19,784152,789994,ID=Glyma.19G007800.Wm82.a2.v1;Name=Glyma.19G007800;ancestorIdentifier=Glyma19g01060.v1.1
Chr19,792762,800535,ID=Glyma.19G007900.Wm82.a2.v1;Name=Glyma.19G007900;ancestorIdentifier=Glyma19g01070.v1.1
Chr19,801425,803361,ID=Glyma.19G008000.Wm82.a2.v1;Name=Glyma.19G008000
Chr19,804376,808519,ID=Glyma.19G008100.Wm82.a2.v1;Name=Glyma.19G008100;ancestorIdentifier=Glyma19g01090.v1.1
Chr19,810694,814316,ID=Glyma.19G008200.Wm82.a2.v1;Name=Glyma.19G008200;ancestorIdentifier=Glyma19g01100.v1.1
Chr19,820432,824409,ID=Glyma.19G008300.Wm82.a2.v1;Name=Glyma.19G008300;ancestorIdentifier=Glyma19g01120.v1.1
Chr19,832740,834442,ID=Glyma.19G008400.Wm82.a2.v1;Name=Glyma.19G008400;ancestorIdentifier=Glyma19g01131.v1.1
Chr19,837646,840023,ID=Glyma.19G008500.Wm82.a2.v1;Name=Glyma.19G008500;ancestorIdentifier=Glyma19g01140.v1.1
